Wall time,Step,Value
1700661532.611253,651200,-312.949951171875
1700661561.418907,652000,-301.74822998046875
1700661588.3785317,652800,-293.2763671875
1700661641.4023166,654400,-286.83709716796875
1700661667.7124925,655200,-287.97174072265625
1700661696.6483989,656000,-280.1288146972656
1700661723.6473012,656800,-283.6323547363281
1700661750.7807853,657600,-278.4258728027344
1700661780.261337,658400,-278.0605773925781
1700661809.9423406,659200,-280.7603759765625
1700661837.788812,660000,-285.29705810546875
1700661865.7753642,660800,-277.3428649902344
1700661894.165161,661600,-289.58221435546875
1700661923.5376203,662400,-285.9464416503906
1700661949.954307,663200,-282.9065856933594
1700661977.579295,664000,-269.92388916015625
1700662004.8916938,664800,-275.85296630859375
1700662060.288908,666400,-268.93951416015625
1700662087.7616565,667200,-260.8896484375
1700662114.1326494,668000,-256.7698974609375
1700662140.6237454,668800,-261.9999084472656
1700662168.2331843,669600,-265.0507507324219
1700662196.2766042,670400,-265.7244873046875
1700662252.96256,672000,-277.0346984863281
1700662280.7434497,672800,-276.7309265136719
1700662335.9454663,674400,-273.6473083496094
1700662364.2219553,675200,-277.3384704589844
1700662419.5142515,676800,-284.39276123046875
1700662473.2424338,678400,-263.61920166015625
1700662557.1527755,680800,-247.1777801513672
1700662584.9000528,681600,-236.80694580078125
1700662667.8997734,684000,-234.55361938476562
1700662696.256579,684800,-236.131103515625
1700662723.707576,685600,-226.16456604003906
1700662751.2880604,686400,-228.49391174316406
1700662778.9774325,687200,-236.5384979248047
1700662833.844261,688800,-223.87303161621094
1700662862.1129024,689600,-216.2198944091797
1700662890.0408752,690400,-215.715087890625
1700662971.8295772,692800,-212.52073669433594
1700662999.2223773,693600,-218.9736785888672
1700663054.3356051,695200,-214.7742919921875
1700663083.5169463,696000,-214.9571990966797
1700663111.2302268,696800,-208.10191345214844
1700663138.9796324,697600,-222.50955200195312
1700663166.164255,698400,-233.01058959960938
1700663193.0668585,699200,-236.83090209960938
1700663220.285555,700000,-246.8328399658203
1700663275.2060823,701600,-236.87327575683594
1700663303.3534992,702400,-241.8258514404297
1700663329.551136,703200,-247.6670684814453
1700663383.626529,704800,-247.00198364257812
1700663410.8365679,705600,-259.36944580078125
1700663438.2031937,706400,-243.52857971191406
1700663468.0495546,707200,-242.23272705078125
1700663495.3037462,708000,-245.091552734375
1700663523.9155343,708800,-246.77713012695312
1700663551.455346,709600,-259.2175598144531
1700663578.6768763,710400,-255.39108276367188
1700663604.8017337,711200,-250.3372344970703
1700663633.7049453,712000,-243.4741668701172
1700663661.5221748,712800,-243.5561981201172
1700663715.5672972,714400,-231.34347534179688
1700663743.916922,715200,-228.8450164794922
1700663798.3324149,716800,-230.17822265625
1700663853.8058722,718400,-219.6360321044922
1700663881.756172,719200,-230.2998504638672
1700663960.4173756,721600,-239.076171875
1700663988.1839006,722400,-233.06417846679688
1700664045.2162802,724000,-214.27447509765625
1700664073.0049899,724800,-226.34329223632812
1700664100.1965563,725600,-218.23202514648438
1700664128.026961,726400,-227.5037384033203
1700664156.772497,727200,-227.96629333496094
1700664212.1239982,728800,-240.47010803222656
1700664239.115938,729600,-231.3683319091797
1700664292.4386811,731200,-251.9722442626953
1700664320.247215,732000,-259.1606750488281
1700664372.0922923,733600,-261.913818359375
1700664398.6245492,734400,-275.94549560546875
1700664425.6942508,735200,-275.8507385253906
1700664453.423428,736000,-282.14324951171875
1700664480.95192,736800,-295.27142333984375
1700664507.9215415,737600,-295.22576904296875
1700664535.4211059,738400,-304.082763671875
1700664562.2668126,739200,-294.570068359375
1700664589.7377365,740000,-294.140625
1700664641.1403728,741600,-288.11151123046875
1700664668.5339377,742400,-291.9664611816406
1700664694.847877,743200,-298.0697326660156
1700664722.9966278,744000,-303.7369079589844
1700664752.4802635,744800,-303.96881103515625
1700664779.0168235,745600,-313.0279846191406
1700664806.5591552,746400,-323.5370178222656
1700664833.1219957,747200,-322.04638671875
1700664859.8881207,748000,-315.4087829589844
1700664887.462502,748800,-324.14910888671875
1700664940.1409512,750400,-329.98773193359375
1700664995.9105544,752000,-328.7183837890625
1700665021.9605463,752800,-325.1444396972656
1700665050.0990517,753600,-324.5785827636719
1700665079.5710952,754400,-326.935791015625
1700665106.549295,755200,-329.2589416503906
1700665136.4055223,756000,-316.640380859375
1700665163.615527,756800,-308.39727783203125
1700665191.1402771,757600,-315.49481201171875
1700665217.3840382,758400,-318.22210693359375
1700665245.4426975,759200,-317.09930419921875
1700665271.9282653,760000,-315.13092041015625
1700665299.9188592,760800,-312.8923034667969
1700665354.0123103,762400,-307.6479187011719
1700665407.7338507,764000,-306.40093994140625
1700665437.5226576,764800,-301.1664123535156
1700665467.4545004,765600,-300.1372375488281
1700665494.9845035,766400,-293.6490783691406
1700665550.2384572,768000,-277.0980224609375
1700665579.0054476,768800,-262.820556640625
1700665605.7628887,769600,-259.9801940917969
1700665633.5260322,770400,-257.8763427734375
1700665661.1807966,771200,-257.78228759765625
1700665686.5214026,772000,-239.8484649658203
1700665713.5381217,772800,-245.91297912597656
1700665769.789721,774400,-247.79652404785156
1700665796.499141,775200,-247.64402770996094
1700665880.8307202,777600,-245.79541015625
1700665907.8409178,778400,-231.4573516845703
1700665991.3633924,780800,-233.32046508789062
1700666019.566809,781600,-243.08665466308594
1700666045.997571,782400,-234.8000946044922
1700666074.5715797,783200,-226.62391662597656
1700666102.4166064,784000,-225.03173828125
1700666130.1874995,784800,-235.70619201660156
1700666157.617142,785600,-232.9752960205078
1700666187.6282523,786400,-237.10304260253906
1700666215.5418186,787200,-240.6288299560547
1700666297.3550189,789600,-268.41973876953125
1700666325.1488512,790400,-270.599853515625
1700666354.0958357,791200,-273.1567687988281
1700666379.9366796,792000,-294.41351318359375
1700666407.5417347,792800,-297.66510009765625
1700666464.511601,794400,-304.7889709472656
1700666491.6149619,795200,-308.3270568847656
1700666520.0287633,796000,-314.5080871582031
1700666547.5035129,796800,-320.177490234375
1700666575.0438836,797600,-315.12933349609375
1700666628.031365,799200,-335.47418212890625
1700666656.026958,800000,-341.6473388671875
1700666682.146523,800800,-345.68988037109375
1700666707.8237102,801600,-341.8182373046875
1700666733.712165,802400,-358.5663146972656
1700666761.1108158,803200,-363.9520568847656
1700666787.8446486,804000,-366.45892333984375
1700666815.1209338,804800,-366.4732971191406
1700666842.3458343,805600,-370.4427490234375
1700666869.0680547,806400,-372.57537841796875
1700666922.4939463,808000,-374.59039306640625
1700666974.7392743,809600,-383.2855224609375
1700667029.8850105,811200,-375.0233459472656
1700667056.9605095,812000,-373.58990478515625
1700667085.567338,812800,-364.46868896484375
1700667112.6360013,813600,-353.7360534667969
1700667138.1796327,814400,-351.3175048828125
1700667218.8906088,816800,-349.2179260253906
1700667274.3067446,818400,-338.1396789550781
1700667301.4089992,819200,-335.5763854980469
1700667357.0073805,820800,-332.0743713378906
1700667382.4936278,821600,-335.49267578125
1700667410.3366625,822400,-324.36956787109375
1700667436.8810222,823200,-319.6131896972656
1700667465.0115643,824000,-310.75506591796875
1700667520.7578511,825600,-298.8965759277344
1700667627.1746485,828800,-288.1919860839844
1700667653.8510962,829600,-281.6464538574219
1700667681.226357,830400,-276.5684814453125
1700667709.0690126,831200,-272.0417175292969
1700667737.4098594,832000,-274.7078552246094
1700667849.0272095,835200,-299.1499328613281
1700667875.332046,836000,-297.7922668457031
1700667904.0704067,836800,-293.2548828125
1700667932.4176507,837600,-296.8373718261719
1700667984.9895484,839200,-297.7880554199219
1700668011.0494053,840000,-295.7766418457031
1700668040.193057,840800,-295.6398010253906
1700668095.6474588,842400,-300.7199401855469
1700668122.580781,843200,-306.8940734863281
1700668150.485368,844000,-317.2425231933594
